front_img,back_img,class_id
1211402401_front_crop.jpg,1211402401_back_crop.jpg,12
1211206339_front_crop.jpg,1211206339_back_crop.jpg,55
1211505353_front_crop.jpg,1211505353_back_crop.jpg,58
1211606215_front_crop.jpg,1211606215_back_crop.jpg,70
1211804067_front_crop.jpg,1211804067_back_crop.jpg,12
1211306929_front_crop.jpg,1211306929_back_crop.jpg,12
1211306633_front_crop.jpg,1211306633_back_crop.jpg,58
1211302357_front_crop.jpg,1211302357_back_crop.jpg,12
1211608965_front_crop.jpg,1211608965_back_crop.jpg,12
1211307001_front_crop.jpg,1211307001_back_crop.jpg,12
1211802841_front_crop.jpg,1211802841_back_crop.jpg,58
1211206593_front_crop.jpg,1211206593_back_crop.jpg,55
1211605291_front_crop.jpg,1211605291_back_crop.jpg,12
1211307431_front_crop.jpg,1211307431_back_crop.jpg,69
1211307403_front_crop.jpg,1211307403_back_crop.jpg,58
1211704903_front_crop.jpg,1211704903_back_crop.jpg,58
1211401631_front_crop.jpg,1211401631_back_crop.jpg,18
1211704187_front_crop.jpg,1211704187_back_crop.jpg,69
1211609963_front_crop.jpg,1211609963_back_crop.jpg,91
1211702471_front_crop.jpg,1211702471_back_crop.jpg,69
1211208721_front_crop.jpg,1211208721_back_crop.jpg,0
1211802591_front_crop.jpg,1211802591_back_crop.jpg,70
1211804615_front_crop.jpg,1211804615_back_crop.jpg,12
1211709575_front_crop.jpg,1211709575_back_crop.jpg,58
1211802839_front_crop.jpg,1211802839_back_crop.jpg,58
1211802279_front_crop.jpg,1211802279_back_crop.jpg,58
1211701973_front_crop.jpg,1211701973_back_crop.jpg,58
1211709017_front_crop.jpg,1211709017_back_crop.jpg,7
1211207735_front_crop.jpg,1211207735_back_crop.jpg,58
1211209095_front_crop.jpg,1211209095_back_crop.jpg,58
1211801949_front_crop.jpg,1211801949_back_crop.jpg,12
1211505389_front_crop.jpg,1211505389_back_crop.jpg,58
1211709181_front_crop.jpg,1211709181_back_crop.jpg,4
1211204063_front_crop.jpg,1211204063_back_crop.jpg,69
1211808889_front_crop.jpg,1211808889_back_crop.jpg,58
1211305955_front_crop.jpg,1211305955_back_crop.jpg,12
1211706801_front_crop.jpg,1211706801_back_crop.jpg,0
1211207353_front_crop.jpg,1211207353_back_crop.jpg,12
1211208313_front_crop.jpg,1211208313_back_crop.jpg,58
1211609701_front_crop.jpg,1211609701_back_crop.jpg,69
1211705679_front_crop.jpg,1211705679_back_crop.jpg,58
