front_img,back_img,class_id,class_path,coin_name
1211201795_front_crop.jpg,1211201795_back_crop.jpg,55,机制银币 > 地方省造 > 广东省造 > 光绪元宝 > 三钱六分,广东省造二角
1211201797_front_crop.jpg,1211201797_back_crop.jpg,55,机制银币 > 地方省造 > 广东省造 > 光绪元宝 > 三钱六分,广东省造二角
1211201799_front_crop.jpg,1211201799_back_crop.jpg,55,机制银币 > 地方省造 > 广东省造 > 光绪元宝 > 三钱六分,广东省造二角
1211201803_front_crop.jpg,1211201803_back_crop.jpg,55,机制银币 > 地方省造 > 广东省造 > 光绪元宝 > 三钱六分,广东省造二角
1211201805_front_crop.jpg,1211201805_back_crop.jpg,55,机制银币 > 地方省造 > 广东省造 > 光绪元宝 > 三钱六分,广东省造二角
1211201807_front_crop.jpg,1211201807_back_crop.jpg,55,机制银币 > 地方省造 > 广东省造 > 光绪元宝 > 三钱六分,广东省造二角
1211201809_front_crop.jpg,1211201809_back_crop.jpg,55,机制银币 > 地方省造 > 广东省造 > 光绪元宝 > 三钱六分,广东省造二角
1211201811_front_crop.jpg,1211201811_back_crop.jpg,55,机制银币 > 地方省造 > 广东省造 > 光绪元宝 > 三钱六分,广东省造二角
1211201813_front_crop.jpg,1211201813_back_crop.jpg,55,机制银币 > 地方省造 > 广东省造 > 光绪元宝 > 三钱六分,广东省造二角
1211201815_front_crop.jpg,1211201815_back_crop.jpg,55,机制银币 > 地方省造 > 广东省造 > 光绪元宝 > 三钱六分,广东省造二角
1211201817_front_crop.jpg,1211201817_back_crop.jpg,55,机制银币 > 地方省造 > 广东省造 > 光绪元宝 > 三钱六分,广东省造二角
1211201819_front_crop.jpg,1211201819_back_crop.jpg,55,机制银币 > 地方省造 > 广东省造 > 光绪元宝 > 三钱六分,广东省造二角
1211201821_front_crop.jpg,1211201821_back_crop.jpg,55,机制银币 > 地方省造 > 广东省造 > 光绪元宝 > 三钱六分,广东省造二角
1211201823_front_crop.jpg,1211201823_back_crop.jpg,55,机制银币 > 地方省造 > 广东省造 > 光绪元宝 > 三钱六分,广东省造二角
1211201827_front_crop.jpg,1211201827_back_crop.jpg,55,机制银币 > 地方省造 > 广东省造 > 光绪元宝 > 三钱六分,广东省造二角
1211201835_front_crop.jpg,1211201835_back_crop.jpg,55,机制银币 > 地方省造 > 广东省造 > 光绪元宝 > 三钱六分,广东省造二角
1211201837_front_crop.jpg,1211201837_back_crop.jpg,55,机制银币 > 地方省造 > 广东省造 > 光绪元宝 > 三钱六分,广东省造二角
1211201839_front_crop.jpg,1211201839_back_crop.jpg,55,机制银币 > 地方省造 > 广东省造 > 光绪元宝 > 三钱六分,广东省造二角
1211201841_front_crop.jpg,1211201841_back_crop.jpg,55,机制银币 > 地方省造 > 广东省造 > 光绪元宝 > 三钱六分,广东省造二角
1211201849_front_crop.jpg,1211201849_back_crop.jpg,9,机制银币 > 地方省造 > 湖北省造 > 双龙 > 一两 > 小字,西藏银币十两
1211201851_front_crop.jpg,1211201851_back_crop.jpg,9,机制银币 > 地方省造 > 湖北省造 > 双龙 > 一两 > 小字,西藏银币十两
